A person is slicing an onion.,A person cuts ginger.,1.4
A person is peeling a potato with a potato peeler.,A man is cutting tomatoes with a cleaver.,0.75
Two women are dancing and singing in front of a crowd.,The women are singing and dancing.,3.538
A man is seasoning some carrots.,A woman is slicing garlic.,0.8
Two men pushed carts through the woods.,Two men are pushing carts.,3.5
A man is playing a football.,A man is maneuvering a soccer ball with his feet.,2.0
The lady peeled the potatoe.,A woman is peeling a potato.,4.75
A woman is slicing some tofu.,A woman is cutting a block of tofu into small cubes.,4.0
Someone typed on a keyboard.,Someone is typing.,4.5
"Three young men run, jump, and kick off of a Coke machine.",Three men are jumping off a wall.,1.5
A young Asian girl is applying eyeliner.,A girl is putting on eye makeup.,2.4
A cat is walking around a house.,A woman is peeling potato.,0.0
A woman is talking to her pet bunny as she fondles it.,A woman walks her dog onto astro turf.,0.4
A monkey is playing drums.,Someone in a gorilla costume is playing a set of drums.,2.5
A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,2.6
An oriental lady is cutting a carrot into thin pieces.,A woman is slicing a carrot.,3.6
A group of people are dancing.,Women are dancing outside.,3.0
A man is playing guitar.,A boy is talking to a giant dog.,0.0
A woman mixes up vegetables.,A woman is adding ingredients to a skillet.,1.6
A woman pours a mixture into a bowl and mixes it.,A woman is preparing an egg in a skillet.,1.25
A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,3.6
A man is putting garlic on some bread slices.,A man is sprinkling seasoning on several split and buttered loaves of bread.,2.0
The panda bear lay on the logs.,A panda is lying down.,3.6
Five men jump into a swimming pool.,A group of swimmers fall into a pool.,2.8
A cheetah is running behind its prey.,A cheetah chases prey on across a field.,4.4
A cat is playing on the floor.,A man is slicing garlic.,0.0
A boy is playing violin on stage.,A person is mixing a pot.,0.0
A dog is barking at a toy.,The little dog barked at the electronic toy.,3.75
A man is cycling.,A boy is riding a bicycle.,2.5
A woman is slicing ginger.,A person is holding two baby lorises.,0.0
A man is dragging a dead deer.,A man is jumping into water from a cliff.,0.8
A man is preparing a snake for cooking.,The man is dropping sliced cucumbers into water.,1.0
A woman is spreading mustard on a bread roll.,A kitten is playing with a woman's finger.,0.0
Someone touched the kitten chewing on a string.,Someone is cutting paper.,0.25
Meat is being put into a skillet.,A woman is putting a baby into a trash can.,0.4
A baby elephant is eating a small tree.,A little girl peddling a scooter.,0.0
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,5.0
Someone is drawing.,Someone is dancing.,0.3
A man is playing a guitar.,A woman is playing the guitar.,2.75
Two men are fistfighting in a ring.,Two men fistfight in a ring.,5.0
A person wipes butter on a tray.,A person is buttering a tray.,4.25
Two men are playing football.,Two men are practicing football.,3.4
The man is playing the guitar.,The girl is playing the guitar.,1.6
A man is peeling a potato.,A man is slicing a potato.,2.6
A woman is stabbing a potato with a fork.,A woman is puncturing a potato with a fork.,5.0
A child is waking up.,A girl is waking up.,3.2
A boy is playing a key-board.,A little boy is playing a keyboard.,4.8
A woman plays the flute.,A woman is playing the flute.,5.0
A woman is playing an electric guitar.,A man is playing an acoustic guitar.,2.4
A man is playing a flute.,A man is playing a guitar.,2.0
A group of people are sweeping water out of a house.,People are sweeping water out of a house.,5.0
A man plays a guitar.,A man is playing a guitar.,5.0
A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,3.4
A woman is climbing a cliff.,A woman is climbing a rock face.,4.5
A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,4.2
A woman is cutting some fish.,A woman is cutting tofu.,2.2
Someone is playing a piano.,Someone is playing guitar.,2.4
A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,3.8
A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,2.5
A girl is playing guitar.,A girl is playing a piano.,2.0
A man is praying.,A man is dancing.,0.75
A man is playing piano.,A man is playing a violin.,2.0
A woman is slicing an onion.,A woman is slicing lemons.,2.2
A man is riding a horse by a creek.,A man is riding a horse.,4.0
A man is playing a guitar.,A man is playing a guitar and singing.,3.2
A man is picking up a tree.,A man is carrying a tree.,3.8
A person is peeling a potato.,The man is peeling a potato.,3.75
A person is playing a piano.,A person is slicing a potato.,0.5
A man is spitting.,A man is talking.,0.8
A man is playing a musical keyboard.,A man is playing a keyboard piano.,5.0
A man is dancing.,A man is thinking.,1.2
A man plays a trumpet.,A man is playing the trumpet.,5.0
A woman is riding a horse.,A man rides a horse.,2.8
A band is playing on stage.,A woman is dancing on a stage.,1.2
A woman is playing a guitar and singing.,A woman is playing the guitar.,3.2
The man is eating.,A man is eating food.,4.6
A little boy hits a golf ball.,The little boy swung at the golf ball.,4.0
A guy is taking off his sunglasses.,A boy is removing his sunglasses.,3.8
Someone is reading an email.,A man is reading his email.,3.4
A person is slicing onions.,Someone is slicing an onion.,4.6
A girl is coming up on a car.,A girl jumps on top of a car.,2.6
A man is playing drums.,A man is playing his guitar.,1.8
Someone is slicing a onion.,Someone is carrying a fish.,0.75
A woman is dicing some peeled potatoes cut into thick strips.,A woman is chopping a peeled potato into slices.,4.0
A little girl peddling a scooter.,A girl is riding a scooter.,2.75
A cat cleans itself.,A cat is licking itself.,3.8
A man is kicking a soccer ball.,A man is performing tricks with a soccer ball.,2.6
A woman opens a window.,A woman is looking out a window.,2.0
Three men are doing same dance in the street.,Three shirtless men are dancing in the street.,3.8
The man is playing the guitar.,The man is peeling a potato.,0.583
A man is dancing.,A woman is exercising.,0.4
A woman is exercising.,A man is dancing.,0.25
A boy is playing the violin onstage.,A boy is playing an instrument.,2.8
The woman is measuring the other woman.,The lady measured the other woman's ankle.,3.2
A man is doing exercise.,A man is firing a rifle.,0.5
A dog is playing with a toy.,A dog is eating a doll.,2.25
A man is playing a piano.,A guy is peeling a potato.,0.0
A man is bowling.,A kitten is walking.,0.0
A woman is dancing near a fire.,A woman is cutting a tomatoe.,0.308
A man is making a bed.,A man is speaking to an audience.,0.75
A person is riding a motorcyle.,A person is chopping an onion.,0.4
A man pours rice into a pot.,A man is putting rice in a bowling pot.,4.2
A person is slicing some garlic.,A person is dicing a clove of garlic with a knife.,3.75
A woman is slicing ginger.,A woman is cutting potatoes.,1.6
Men are playing soccer.,Two teams play soccer.,3.0
A person is scrubbing a zucchini.,A woman is scrubbing a zucchini with a vegetable brush.,4.0
A panda bear is chewing on a stick.,A baby panda plays with a stick.,3.0
The people are lifting bags.,Several people are carrying large bags.,3.75
A man is talking on the phone.,A man is moon-walking across a store.,0.4
A woman is braiding her hair.,A man is riding a motorcycle.,0.0
The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,3.0
The woman is slicing tofu.,The woman is putting on lipstick.,0.4
A woman is folding paper.,A woman is applying eye shadow.,0.4
Someone is folding a piece of paper.,A person is slicing a small pieces of ginger.,0.25
A man is lifting weights.,A man is chopping egg plant.,0.25
A man is playing a cello.,A man is rapidly lifting small weights.,0.4
The man is talking.,A man is walking down stairs.,0.4
A man tries to feed a mouse to a snake.,A man is teasing a snake with a mouse.,3.2
A man is playing the drums.,A woman is slicing some leaves.,0.0
A man is playing a ukulele.,A man is sitting and playing a small guitar.,2.2
A kitten is drinking milk from a bowl.,A small child is drinking water from a cup.,0.8
A man breaks cinder blocks on another man.,A woman breaks an egg into a pan.,0.8
A man is hitting a boy with flower vase.,A man is cutting a mat.,0.3
The man is mixing whipping cream.,The man is holding a skunk.,0.0
A man is stirring juice.,A man is peeling an onion.,0.75
Someone is slicing two uncooked racks of ribs apart.,Someone is cutting a piece of meat.,2.333
A man is kicking pots of water.,A man is turning foods.,1.333
Two little girls talk on the telephone.,Two couple are talking with each other.,1.2
A cat gets stuck on a moving ceiling fan.,A cat is swinging on a fan.,4.2
The cat is drinking milk.,A white cat is licking and drinking milk kept on a plate.,3.8
Rocky and Apollo Creed are running down the beach.,The men are jogging on the beach.,3.0
A man is singing while playing the guitar.,A man is stuffing himself full with food.,0.5
A boat sails along the water.,The man is playing the guitar.,0.0
An okapi is eating from a tree.,A moose drinks from a sprinkler.,0.333
Several kids jump up and down on a trampoline.,A man is doing back flips on a trampoline.,1.5
A woman is pouring egg into a frying pan.,A man is petting two dogs.,0.167
A woman is frying ground meat.,A man is cutting a trunk with an axe.,0.5
Three boys in karate costumes are fighting.,Three men are practicing karate moves in a field.,1.25
Swimmers are racing in a lake.,Women swimmers are diving in from the starting platform.,1.6
A person is boiling noodles.,A cat is licking a bottle.,0.0
A person is slicing some onions.,A woman is chopping herbs.,1.0
A man reels in a fish.,A woman is pouring oil in a bowl.,0.0
A woman is cutting an onion.,A horse is standing.,0.0
A lady mixed up a meat mixture in bowl.,A woman is stirring meat in a bowl.,4.0
A girl is applying makeup on her face.,A woman is putting on makeup.,2.75
A woman puts make-up on.,A woman is putting on eyeshadow.,3.333
A cat plays in his water.,The cat fished a straw out ouf his water dish.,3.5
A person is adding food in a pan.,A man is dancing in the street.,0.188
A man is smoking.,A baby is sucking on a pacifier.,0.0
A person is putting shredded cheese in a pot.,A hamster is eating some seeds.,0.25
A man is erasing a chalk board.,"A woman is dancing, and singing.",0.364
The man is exercising.,A man is doing pull-ups.,3.2
A chimp is kicking a target.,A woman is putting oil into a skillet.,0.0
A man is doing exercise.,A baby is laughing.,0.0
The girl is carrying a baby.,A man is eating a food.,0.0
Several swimmers jump into the water.,Swimmers are racing in a lake.,1.75
A man spins on a surf board.,A man is putting barbecue sauce on chicken.,0.0
A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.,A man is riding a skateboard.,2.75
A person dices up an orange pepper.,The cook is slicing bell peppers.,1.8
Two men are dancing together.,A woman opens a closet.,0.0
A man is reading an email.,A person opening a banana.,0.0
The curious boys look in the shed.,Two small boys in a woody area looking at a shed.,2.8
A moped in front of steps of ruins.,A moped in front of ruins.,4.4
A man sleeps with a baby in his lap.,A man asleep in a chair holding a baby.,4.0
Two cats are looking at a window.,A white cat looking out of a window.,2.6
A person wearing a helmet rides a bike near a white structure.,A girl wearing black shorts and boots is standing next to a blue motorcycle.,1.2
A man with a bicycle at a coffee house.,Man walking bicycle to patio of a coffee shop.,3.2
A black and white cat is high up on tree branches.,Black and white lamb with tag in right ear.,0.8
A young blonde girl wearing a helmet sits with a red bicycle behind her.,A young girl wearing a bike helmet with a bicycle in the background.,3.4
Blue couch and twin bed in a living room.,Blue couch in room with sun shining in.,2.0
The flock of sheep are spread out in the field.,A white cat stands on the floor.,0.0
Two dogs and one cat sitting on couch.,Two dogs and a cat resting on a couch.,4.6
A bicycle is parked by a shop.,A bicycle is parked outside a bookstore.,4.0
A orange and white cat laying on a blanket in a black leather chair.,A ginger and white cat curled up and asleep on a leather chair.,3.8
Young couple sitting on a black couch.,Young couple sitting on couch.,4.0
A group of black people in front of a building with a moped.,A group of people are outside a decrepit building.,2.8
Elderly woman sitting on red patterned couch with her arm around younger woman.,Two women sitting on couch posing for camera.,3.6
A man riding on the back of an orange SUV.,an African man hanging onto the back of a very full yellow van.,1.8
Red and white bus driving down road.,A bus drives down a busy road.,3.6
A cat laying on a red cushion looking at the camera.,A tan dog lying on a moggie bed looking up at the camera.,1.2
Two green and white trains sitting on the tracks.,Two green and white trains are sitting on the train track.,5.0
A grey cat lying on a wooden table.,A grey cat laying on a dining table.,4.0
A man sitting in a back yard playing the guitar.,A man riding on the back of an orange SUV.,0.0
A father napping in a chair with a baby on his lap.,Man with pink shirt sleeping on chair with infant.,3.4
a close up head of an ostrich.,A close up of an ostrich face.,4.4
Green and white bird perched on tree branch.,Bird with a green head and white chest perched on a tree branch.,4.2
A man in a top hat rides a white horse.,A man with a top hat riding a white horse.,5.0
A woman riding a brown horse.,A woman taking her own photo from above.,0.2
Two men standing in grass staring at a car.,A woman in a pink top posing with beer.,0.2
Two Indian women with two Indian girls near the water.,Two Indian woman stand with two Indian girls on a beach.,4.0
A table is set with wine and dishes for two people.,"A wooden table is set with candles, wine, and a purple plastic bowl.",2.6
A moped in front of ruins.,White bus parked in grass in front of building.,0.6
A person driving a cart pulled by a bicycle.,A man wearing a dust mask riding a three wheeled bicycle.,1.2
A dog sniffing the bottom of a door.,A black and white dog sniffing at a closed door.,3.8
a small bird sitting on a branch in winter.,A small bird perched on an icy branch.,4.2
A yellow bird is eating fruit on a wire grate.,A yellow bird eating fruit on a bird feeder.,2.8
A brown duck and white duck stand on the grass.,Brown and white ducks walking on green grass.,4.2
A black and white cat and dog on a striped couch.,A black and white cat standing in front of a window.,2.4
A man wearing black formal wear & a black top hat is riding a white show horse.,A man with a top hat riding a white horse.,3.6
A small brown birds is eating from a bird feeder hanging from a tree.,A small bird perches on the bird feeder hanging from the tree.,3.8
This a picture of the countryside with a large city in the background.,There are some black cattle in a grassy plain with a large tree in the background.,0.6
Blue and red plane in mid-air flight.,a blue and red airplane while in flight.,4.8
Three men posing in a tent.,Three men eating in a kitchen.,1.2
A close-up of a gray cat with green eyes.,A close-up of a cat on a cream sofa.,2.4
A train is at a train station.,The train sits at the train station.,4.2
The train heads down the tracks and along the hedge.,a dog on the floor of a patio looks at a cat on the fence.,0.0
a little girl is laughing at the camera.,A white cow with big ears looking into the camera.,0.2
Three young women standing in a room together.,"Three dark haired young women in white, red and black sweaters.",3.4
A white bird with long orange legs standing by a lake.,Large white bird with long orange beak standing on the shoreline.,3.0
A red train driving through a snow covered city.,The train is riding on the tracks in the snow.,3.2
Three bicyclists crossing a bridge in a city.,The bicyclists are crossing a bridge in the rain.,3.0
A red and white bus drives down an England street.,A red and white England bus drives down the street.,4.4
The birds are swimming in the water.,Birds fly low over water.,1.8
A black dog looking at the camera.,The black and white bull is looking at the camera.,2.0
A group of horses grazing in a field.,Group of horses grazing in grassy field.,4.8
Several people on motorcycles in a market square.,People on motorbikes in a city street.,4.0
Three sheep on a dirt road viewed from a passenger vehicle.,Three sheep on a dirt road shot from a car.,2.2
Group of people posing with two men dressed as Elvis.,A group of people standing with two other people dressed as Elvis.,4.2
Parrot pushing a small shopping cart.,A white bird is steering a shopping cart.,3.4
Man in yellow canoe paddling through water.,Man paddling a yellow canoe towards a the shore.,4.2
Beer bottles (-LRB- Harp Lager )-RRB- lined up on the floor.,A row of beer bottles on the floor.,3.4
Two women sitting outside laughing.,Two women standing outside of a bus.,2.4
A steam engine and train moving toward the camera.,A white sheep on a hillside looking at the camera.,1.0
A brown and white cow in a field looking into the camera.,The black and white cat is looking up at the camera.,1.6
Black and white cow standing near pile of snow.,a black and white cow standing in the field.,3.2
Home office space with bright green walls and artwork.,An office with multiple desks and green walls.,3.4
A black and white photo of a man driving a car and someone with a motorcycle.,A black and white photo of a man in a classic car and a man with a classic motorcycle.,4.0
Three people are by the water with yellow canoes.,Three people preparing to canoe.,3.0
A girl in a riding hat on a horse.,A girl riding a tan horse.,3.8
A man dressed in a pale scarf with a stick.,A runner is resting in the shade with a bottle of soda.,0.0
A very retro living room with a television in it.,A grey cat lying on a wooden table.,0.0
A girl in a riding hat on a horse.,A girl riding a brown horse.,2.6
A car is pulling off the side of the road onto the street.,A silver car parked on the side of the road in front of the hills.,2.6
The man is sitting cross legged wearing a cloak and holding a stick.,Man sitting cross legged while wearing a brown cloth and holding a wooden stick.,3.8
Two black and white dogs at the bottom of stairs.,A dog is lying at the bottom of a staircase next to another standing dog.,2.6
An old fashioned wooden sailing ship in the ocean.,An old fashioned wooden sailing ship is parked at the pier.,2.8
"A man sitting cross legged on the grass, with a tree in the background.",Ocean liner close to coast with houses in the background.,0.0
Two cats sitting on a couch looking out the window.,A cat looking out of a window.,2.6
Three goats are being rounded up by a dog.,Three goats are chased by a dog.,4.6
A tan puppy on a carpeted floor.,Tan puppy lying down on white carpeting.,3.8
A black dog standing in a grassy area.,A long-haired dog stands in a grassy wooded area.,3.4
Train in a station.,a train in a station.,5.0
A blue bird standing on a lawn.,Blue bird standing on green grass.,4.6
An empty office cubicle.,An empty office chair in a cubicle.,3.0
A man and woman sit at a table in a restaurant.,Four women and two men sit at a long table in a restaurant.,2.2
A young man wearing a striped shirt is holding two bicycles.,Young redheaded man holding two bicycles near beach.,3.8
"A television, upholstered chair, and coffee stable in a bright room.",A leather couch and wooden table in a living room.,2.2
Two cats sitting on a couch looking out the window.,Two cats are looking at a window.,3.6
The small dog is wearing a sweater and looking up at the camera.,A small white dog wearing a jacket looks up at the camera.,4.0
Two men standing in grass staring at a car.,Two women sitting in chairs in a shop.,0.4
A woman stands in front of a building in the snow.,Two women and a baby pose in front of a dining room.,0.0
Home office space with bright green walls and artwork.,Small office space with bright green walls.,3.8
A green car parked at a saloon.,A green car parked outside the saloon.,5.0
Group of people sitting around a restaurant dining table.,A group of people sitting at a restaurant table.,4.8
Two ducks are standing by the water.,The birds are swimming in the water.,2.4
A black and white cow in a pen with hay.,Black and white cows behind a fence.,2.8
A man and woman are posing for the camera.,A cat sitting on sand looking up at the camera.,1.4
A green and white cargo plane taking of from an airport.,White and green commercial airliner taking off of runway.,3.6
A yellow school bus parked in a field.,A brown horse in a green field.,0.0
An elderly man works on his laptop at home.,Older gentleman sitting on couch with laptop.,4.2
The cat is sitting on a bag of cat food.,Two eagles sitting on a long branch.,0.4
A large pile of wooden items piled high.,A large pile of scrap wood.,3.8
A woman riding a brown horse.,A girl riding a brown horse.,4.0
Black and white photo of a girl on a sofa.,a black and white photo of a cow under a tree.,1.2
A black dog stands next to materials at a construction site.,A black dog stands in the middle of a construction site.,4.0
Two women sitting in chairs in a shop.,Two women are sitting in a cafe.,3.0
A women painting a chair with a dining room in the background.,A man and boy walking along a beach with the sea in the background.,0.0
A cat sleeping on the coach with a pillow behind it.,The cat is laying on an animal print blanket.,2.4
Two motorbikes racing on a dirt course.,two motorbikes on a dirt track.,3.4
A young woman is riding a Bay hose in a dirt riding-ring.,A man is staring at a horse with a white mane.,0.8
A gray cat laying on a brown table.,A grey cat lying on a wooden table.,4.2
Motorcycle parked next to a car outside.,A motorcycle parked next to a car.,4.4
A pile of used wooden building materials with a chair on top.,Pile of wooden debris with chair on top.,4.0
A passenger train waiting at the city train station.,A passenger train with a yellow engine.,1.8
A black train moves down the tracks.,A long train is on train tracks.,2.8
A Philips flat-screen TV is shown with its two remote controls.,A Phillips flat screen TV with two remote controls.,5.0
A cruise ship is in front of a docking area.,Calico cat sitting on step in front of a door.,0.0
A black and white cow standing in hay looks back at the camera.,There is a black and white sheep standing on the grass.,0.2
Four people rowing down a river.,Four people row a canoe in water.,4.0
A dark brown horse standing in a field.,A brown horse in a green field.,3.8
Two men talking in front of a plane.,Two men talking in front of a small plane.,4.4
"two cats, one brown and one white laying on a bed with a blue blanket.","Two cats, one ginger, the other white laying on a bed.",3.2
The train sits at the train station.,A train parked at a train station.,4.6
Two animals sitting on a rock.,The brown train is sitting on the railroad tracks.,0.0
A black and white cow looking through the fence.,A black and white dog looking at the camera.,1.0
Two women in a clothing store.,Two women in a sailboat.,0.8
Older gentleman looking at red motorcycle.,A man looking at a red motorcycle.,4.0
Black and white cows grazing in a pen.,Two black and white cows drinking out of a pond.,1.6
A small camouflaged airplane parked in the grass.,A small dog wearing a pink shirt tied to a railing.,0.0
A black and white photo of a love seat.,Black and white photo of couch with purse at one end.,3.4
Black bird standing on concrete.,Blue bird standing on green grass.,1.0
Crowd of people walking past a giant mushroom.,A group of four people walking past a giant mushroom.,4.0
A sheep beside a road and a lake.,A sheep is on the edge of a road with a lake and a mountain in the background.,3.0
A group of people sit at a table in an Italian restaurant.,A group of six people sitting at a table with salad served.,3.0
Tan cows look closely at the camera.,A white and grey cat in a bathroom sink looking at the camera.,0.75
Older woman holding newborn baby.,a woman sitting on a sofa holding a baby.,3.4
Two dogs play in the grass.,Two dogs playing in the snow.,2.8
Three people sit at a picnic table outside of a building painted like a union jack.,Three people sit at an outdoor table in front of a building painted like the Union Jack.,4.8
A dog swims through the water.,A dog wearing a cape is running through the snow.,1.4
A young laughing girl and a boy are playing on a big drum.,A baby girl and little boy are standing next to a guitar and a drum.,2.4
The brown dog runs on the snow with a white ball in his mouth.,Four dogs play in the snow with the city skyline behind them.,1.8
A bird flies across the water.,A bird flies above the water.,4.8
A dog is running through a pond,A pale dog is running along a dirt path.,1.4
A man and a woman watch two dogs.,A man in a maroon bathing suit swings on a rope on a lake.,0.4
A man sits by a dock looking at the water.,A man jumps off a rock into the water,1.33
A brown and white dog is running through the snow.,a brown and white dog is running on the grass.,2.4
A man and a woman are standing in front of a building,Two girls are sitting on an ATV on the sand in front of a bridge.,0.4
Three dolphins are jumping out of a pool in front of a crowd of people.,A man is giving a presentation in front of a lot of people.,0.6
The dog is running through a field.,A dog runs through a field.,4.8
A black and white dog is jumping into the water.,a white dog runs across the water.,2.8
A tan and white dog retrieving a ball on a gravel path.,A large dog walks along a gravel path in the woods.,2.0
A brown and white dog is walking up snowy steps.,A black and white dog frolics in the snow.,2.6
A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.,The man in a blue jacket is standing in a crowd.,0.0
A dog running across the snow with a snowball in it's mouth.,A tan dog is running through the grass with a yellow toy in its mouth.,2.4
A small boy is building with some wooden blocks.,A small boy wearing a blue shirt stacks wooden blocks.,4.0
A man and a woman walk with a white dog on a leash.,"A man, woman and dog walk down a paved road.",4.0
A young boy wearing a red winter coat is eating and holding up a candy bar.,A young boy wearing a red coat eats a chocolate bar.,4.0
Two racing dogs run in the mud.,The man is going into the water.,0.0
"A young boy jumping into a pool that says ""no diving"".",A boy jumps into a pool while lifeguards watch.,3.2
Three dogs running in the dirt.,The yellow dog is running on the dirt road.,1.4
Four children on stools in a diner.,Four children sit on tall bar stools at a yellow and grey bar.,3.6
Boy and white dog running in grassy field,A boy and a dog running on grass,4.4
Two boys playing a game of flag football.,Two boys are playing flag football.,5.0
The black and white dog has its mouth wide open.,A black and white dog jumps in the snow.,1.8
One white boy and one black boy stand with arms around each other.,"Two young boys, one white and one black, are standing with their arms around each other.",4.8
Girl playing in a puddle with her bare feet.,A child is playing with two white and black geese.,0.6
Two children splashing in the water.,Two dolphins jumping into the water.,1.4
A man in a suit dances with a young girl in front of an audience.,A women dangles from a blue fabric connected to a tree.,0.2
Three children playing on a floor with toys.,Three children sitting in floor playing with several toys.,4.2
The two dogs are playing in the yard.,Two dogs are playing on the grass.,4.6
The # 2 greyhound dog is running around a track.,a muzzled greyhound dog is running around a track,4.0
four children are playing on a trampoline.,Four kids are jumping on a trampoline.,4.6
A black and tan dog standing in a field near trees,A white dog is standing by a river shaking himself dry.,1.8
A black dog running into the water.,A black dog running through water.,4.6
a man and woman walking past a record shop,A man and woman kissing in front of a crowd of people.,0.2
Two dogs play in the grass.,Two tan dogs play in the snow.,2.6
Three children wrestle on a floral carpet.,Three children playing on the floor.,3.8
A boy in red jumping into a sandbox.,A dog swimming in a pond,0.0
a dog jumps into the water.,A dog is jumping into the water.,5.0
"A wet, blond dog carries a stick on the shore.","The wet, brown dog has a stick in his mouth and is running in the sand next to the water.",3.6
